[  ̚]
[  ̝]
[  ̞]
[  ̟]
[  ̤]
[  ̧]
[  ̮]
[  ̰]
[  ̱]
[tθʼ]
[tθˀ]
[tᵡ]
[t’]
[u ]
[u/ou]
[u/uː]
[u/u̞]
[u/u̯]
[u/w]
[u/wu]
[u/ũ]
[u/ɔ]
[u/ɥ]
[u/ʊ]
[u:]
[u]
[ua]
[uai]
[uaŋ]
[uaʔ]
[ue]
[ui]
[uiː]
[ui̯]
[uj]
[uk]
[um]
[un]
[uo]
[uoŋ]
[uoʔ]
[up]
[ut]
[u~o]
[u~ʊ]
[uŋ]
[uɐ]
[uəm]
[uən]
[uəp]
[uət]
[uəŋ]
[uʊ]
[uː/o]
[uː]
[uːː]
[uˑ]
[uˤ]
[uˤˑ]
[u̥]
[ṷa]
[ṷe]
[u̯]
[v/-ʷ]
[v/f]
[v/w]
[v/β]
[v]
[ve]
[veː]
[veˑ]
[viˑ]
[vo/o]
[v~f]
[v~w]
[vɔ]
[və]
[vʰʲ]
[w ~ u]
[w/oː]
[w/u/o]
[w/u]
[w/v]
[w/w:]
[w/w]
[w/w̃]
[w/y]
[w/ʋ]
[w/β]
[w\xe3]
[w\xe6]
[w]
[wa]
[we]
[weˑ]
[wi]
[wiˑ]
[w~uː]
[w~v]
[w~ɥ]
[w~ʋ]
[wã]
[wæ]
[wæ͂]
[wɔ]
[wɔː]
[wə]
[wɛ]
[wɜ͂]
[wɪ]
[wˀ]
[wː]
[w̥]
[x/g]
[x/ks]
[x/kʰ]
[x/xa]
[x/ç]
[x/χ]
[x]
[xaˑ]
[xs]
[x~h]
[x~ç]
[x~χ]
[xʲ]
[xʲer]
[xʷ]
[xː]
[y/ju]
[y/u]
[y/ø]
[y/øy]
[y]
[yi̭]
[y~ʏ]
[yː]
[yˑ]
[z/dz]
[z/dʒ]
[z/ks]
[z/s]
[z/za]
[z/zˤ]
[z/z̡]
[z/ʣ]
[z/ʤ]
[z]
[za]
[ze]
[zet̪]
[zeˑ]
[z~ʤ]
[zɛt]
[zʰ]
[zʲ]
[zʷ]
[z̪]
[ẕˁ]
[~]
[¯]
