uəŋ,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
j,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
ɔ~ɵ,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, -]
ui,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
t~s,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
nɔ,[+, +, -, 0, -, -, -, -, -, -, 0, 0, 0, 0]
dʱɔ,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
th,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
w~u,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
ou,[-, +, +, 0, +, -, -, +, 0, +, -, -, -, +]
f~ɸ,[+, -, +, +, -, -, -, +, 0, -, 0, 0, 0, 0]
miˑm,[+, +, -, 0, -, -, -, +, 0, -, 0, 0, 0, 0]
d,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
bju,[+, -, -, -, -, -, -, +, 0, +, +, -, +, +]
ɴq,[+, +, -, -, -, -, -, -, 0, +, -, -, -, +]
dⁿ,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
ð~z,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
ua,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
ʔd,[+, -, -, -, -, -, -, -, 0, -, 0, 0, 0, 0]
hoː,[-, -, +, +, -, -, -, -, 0, -, 0, 0, 0, 0]
ʒe,[+, -, +, +, -, -, -, -, +, -, 0, 0, 0, 0]
tsʰa,[+, -, -, +, -, -, -, -, -, -, 0, 0, 0, 0]
dʷ,[+, -, -, -, -, -, -, +, -, -, 0, 0, 0, 0]
ŋa,[+, +, -, 0, -, -, -, -, 0, +, +, -, -, -]
.p~b,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
ca,[+, -, -, -, -, -, -, -, +, +, +, -, +, -]
iə,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
nin,[+, +, -, 0, -, -, -, -, -, -, 0, 0, 0, 0]
teː,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
sː̲,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
g~k,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
c͡ç,[+, -, +, +, -, -, -, -, +, +, +, -, +, -]
t~d,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
i̭ɛ,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
kx,[+, -, -, +, -, -, -, -, 0, +, +, -, -, -]
ħu,[+, -, +, +, -, -, -, -, 0, +, -, +, -, +]
ti,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
a~a:,[-, +, +, 0, +, -, -, -, 0, +, -, +, -, -]
wɜ͂,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
pʰ,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
ea,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
ds’,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
pə,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
tr,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
eṷ,[-, +, +, 0, +, -, -, -, 0, +, -, -, +, -]
ʈʰa,[+, -, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
hau,[-, -, +, +, -, -, -, -, 0, -, 0, 0, 0, 0]
kɐw,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
n̩t,[+, +, -, -, -, -, -, -, -, -, 0, 0, 0, 0]
χ,[+, -, +, +, -, -, -, -, 0, +, -, -, -, +]
ao,[-, +, +, 0, +, -, -, -, 0, +, -, +, -, -]
su,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
ʔ,[+, -, -, -, -, -, -, -, 0, -, 0, 0, 0, 0]
ħ~h,[-, -, +, +, -, -, -, -, 0, -, 0, 0, 0, 0]
a(ː),[-, +, +, 0, +, -, -, -, 0, +, -, +, -, -]
x,[+, -, +, +, -, -, -, -, 0, +, +, -, -, -]
koː,[+, -, -, -, -, -, -, -, 0, +, +, -, -, -]
s*,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
ðˤ,[+, -, +, +, -, -, -, -, +, -, 0, 0, 0, 0]
øˑ,[-, +, +, 0, +, -, -, +, 0, +, -, -, +, -]
mu,[+, +, -, 0, -, -, -, +, 0, -, 0, 0, 0, 0]
iː,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
uŋ,[-, +, +, 0, +, -, -, +, 0, +, +, -, -, +]
l,[+, +, +, 0, +, -, +, -, -, -, 0, 0, 0, 0]
ts',[+, -, -, +, -, -, -, -, -, -, 0, 0, 0, 0]
ᵑg,[+, +, -, 0, -, -, -, -, 0, +, +, -, -, -]
in,[-, +, +, 0, +, -, -, -, 0, +, +, -, +, -]
b̥,[+, -, -, -, -, -, -, +, 0, -, 0, 0, 0, 0]
ro,[+, +, +, 0, +, +, -, -, -, -, 0, 0, 0, 0]
(k)s,[+, -, +, +, -, -, -, -, -, -, 0, 0, 0, 0]
